EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME
3901,8568.0,0.64103,6.986128,0.963264,0.071649,Western Cool Temperate Urban Evergreen Forest
3902,2839.0,0.66982,7.664855,0.981167,0.045685,Western Cool Temperate Urban Mixed Forest
3903,44340.0,0.674953,6.204025,0.969723,0.069957,Western Cool Temperate Urban Herbaceous
3904,2407.0,0.6229617956010816,12.076563456382603,0.9462993646372182,0.03824702727390567,Western Cool Temperate Urban Shrubland
3910,832.0,0.66928,7.292334,0.950719,0.067583,Western Warm Temperate Urban Deciduous Forest
3911,1790.0,0.674569,6.593017,0.955912,0.064668,Western Warm Temperate Urban Evergreen Forest
3912,1954.0,0.673789,8.783193,0.981065,0.044408,Western Warm Temperate Urban Mixed Forest
3913,12823.0,0.661555,7.192363,0.964473,0.068806,Western Warm Temperate Urban Herbaceous
3914,7277.0,0.681898,6.065877,0.934472,0.08088,Western Warm Temperate Urban Shrubland
3920,326.0,0.684815,6.878709,0.978673,0.043551,Western Cool Temperate Developed Ruderal Deciduous Forest
3921,1631.0,0.670814,6.855111,0.981811,0.044038,Western Cool Temperate Developed Ruderal Evergreen Forest
3922,12.0,0.660731,21.023518,0.878314,0.108768,Western Cool Temperate Developed Ruderal Mixed Forest
3923,25197.0,0.654663,7.551755,0.976866,0.061875,Western Cool Temperate Developed Ruderal Shrubland
3924,112050.0,0.655816,7.582474,0.994315,0.032195,Western Cool Temperate Developed Ruderal Grassland
3925,17.0,0.741942,7.872522,0.928106,0.084817,Western Warm Temperate Developed Ruderal Deciduous Forest
3926,325.0,0.62887,9.803202,0.899607,0.097442,Western Warm Temperate Developed Ruderal Evergreen Forest
3927,33.0,0.624202,12.772529,0.959066,0.061394,Western Warm Temperate Developed Ruderal Mixed Forest
3928,7587.0,0.753324,7.226752,0.950951,0.064448,Western Warm Temperate Developed Ruderal Shrubland
3929,7570.0,0.666659,8.935942,0.979569,0.048465,Western Warm Temperate Developed Ruderal Grassland
3941,22.0,0.603988,9.728315,0.958543,0.063563,Western Cool Temperate Undeveloped Ruderal Evergreen Forest
3943,608135.0,0.6077191749425281,16.032559383769048,0.9537698960298979,0.03886840614097627,Western Cool Temperate Developed Ruderal Shrub Wetland
