fire,state,date,filename,url
0262-FERRY,OR,2025-08-02,0262-FERRY-OR-dNBR_20250802_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250802_235959.tif
0262-FERRY,OR,2025-08-03,0262-FERRY-OR-dNBR_20250803_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250803_235959.tif
0262-FERRY,OR,2025-08-04,0262-FERRY-OR-dNBR_20250804_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250804_235959.tif
0262-FERRY,OR,2025-08-05,0262-FERRY-OR-dNBR_20250805_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250805_235959.tif
0262-FERRY,OR,2025-08-06,0262-FERRY-OR-dNBR_20250806_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250806_235959.tif
0262-FERRY,OR,2025-08-07,0262-FERRY-OR-dNBR_20250807_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250807_235959.tif
0262-FERRY,OR,2025-08-08,0262-FERRY-OR-dNBR_20250808_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250808_235959.tif
0262-FERRY,OR,2025-08-09,0262-FERRY-OR-dNBR_20250809_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250809_235959.tif
0262-FERRY,OR,2025-08-10,0262-FERRY-OR-dNBR_20250810_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250810_235959.tif
0262-FERRY,OR,2025-09-20,0262-FERRY-OR-dNBR_20250920_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250920_235959.tif
0262-FERRY,OR,2025-09-21,0262-FERRY-OR-dNBR_20250921_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250921_235959.tif
0262-FERRY,OR,2025-09-22,0262-FERRY-OR-dNBR_20250922_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250922_235959.tif
0262-FERRY,OR,2025-09-24,0262-FERRY-OR-dNBR_20250924_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250924_235959.tif
0262-FERRY,OR,2025-09-25,0262-FERRY-OR-dNBR_20250925_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250925_235959.tif
0262-FERRY,OR,2025-09-26,0262-FERRY-OR-dNBR_20250926_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250926_235959.tif
0262-FERRY,OR,2025-09-27,0262-FERRY-OR-dNBR_20250927_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250927_235959.tif
0262-FERRY,OR,2025-09-28,0262-FERRY-OR-dNBR_20250928_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250928_235959.tif
0262-FERRY,OR,2025-09-29,0262-FERRY-OR-dNBR_20250929_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250929_235959.tif
0262-FERRY,OR,2025-09-30,0262-FERRY-OR-dNBR_20250930_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250930_235959.tif
0262-FERRY,OR,2025-10-01,0262-FERRY-OR-dNBR_20251001_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20251001_235959.tif
0262-FERRY,OR,2025-10-02,0262-FERRY-OR-dNBR_20251002_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20251002_235959.tif
0963-Black-Rock,OR,2025-09-09,0963-Black-Rock-OR-dNBR_20250909_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250909_235959.tif
0963-Black-Rock,OR,2025-09-10,0963-Black-Rock-OR-dNBR_20250910_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250910_235959.tif
0963-Black-Rock,OR,2025-09-11,0963-Black-Rock-OR-dNBR_20250911_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250911_235959.tif
0963-Black-Rock,OR,2025-09-12,0963-Black-Rock-OR-dNBR_20250912_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250912_235959.tif
0963-Black-Rock,OR,2025-09-13,0963-Black-Rock-OR-dNBR_20250913_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250913_235959.tif
0963-Black-Rock,OR,2025-09-14,0963-Black-Rock-OR-dNBR_20250914_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250914_235959.tif
0963-Black-Rock,OR,2025-09-15,0963-Black-Rock-OR-dNBR_20250915_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250915_235959.tif
0963-Black-Rock,OR,2025-09-16,0963-Black-Rock-OR-dNBR_20250916_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250916_235959.tif
0963-Black-Rock,OR,2025-09-17,0963-Black-Rock-OR-dNBR_20250917_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250917_235959.tif
0963-Black-Rock,OR,2025-09-18,0963-Black-Rock-OR-dNBR_20250918_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250918_235959.tif
0963-Black-Rock,OR,2025-09-19,0963-Black-Rock-OR-dNBR_20250919_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0963-Black-Rock-OR-dNBR_20250919_235959.tif
6-5,CA,2025-09-05,6-5-CA-dNBR_20250905_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250905_235959.tif
6-5,CA,2025-09-06,6-5-CA-dNBR_20250906_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250906_235959.tif
6-5,CA,2025-09-07,6-5-CA-dNBR_20250907_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250907_235959.tif
6-5,CA,2025-09-08,6-5-CA-dNBR_20250908_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250908_235959.tif
6-5,CA,2025-09-09,6-5-CA-dNBR_20250909_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250909_235959.tif
6-5,CA,2025-09-10,6-5-CA-dNBR_20250910_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250910_235959.tif
6-5,CA,2025-09-11,6-5-CA-dNBR_20250911_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250911_235959.tif
6-5,CA,2025-09-12,6-5-CA-dNBR_20250912_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250912_235959.tif
6-5,CA,2025-09-13,6-5-CA-dNBR_20250913_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250913_235959.tif
6-5,CA,2025-09-14,6-5-CA-dNBR_20250914_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250914_235959.tif
6-5,CA,2025-09-15,6-5-CA-dNBR_20250915_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250915_235959.tif
6-5,CA,2025-09-16,6-5-CA-dNBR_20250916_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250916_235959.tif
6-5,CA,2025-09-17,6-5-CA-dNBR_20250917_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250917_235959.tif
6-5,CA,2025-09-18,6-5-CA-dNBR_20250918_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250918_235959.tif
6-5,CA,2025-09-19,6-5-CA-dNBR_20250919_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250919_235959.tif
6-5,CA,2025-09-20,6-5-CA-dNBR_20250920_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/6-5-CA-dNBR_20250920_235959.tif
